v1;v2
ham;Hey are we still meeting today?
ham;I'll call you later when I reach home.
ham;Can you send me the notes from today's lecture?
ham;Happy birthday! Hope you have a great day.
ham;Let’s have lunch tomorrow at the usual place.
ham;Please review the attached document and let me know.
ham;See you at the meeting tomorrow morning.
ham;Thanks for your help earlier!
spam;Free entry in a weekly competition to win tickets.
spam;Your loan has been approved. Act fast to receive funds.
spam;Win cash prizes instantly. Click the link to participate.
spam;Limited time offer! Buy now and get 50% off.
spam;You have been selected for a $1000 gift card. Claim now!
spam;URGENT! Your account has been compromised. Verify immediately.
spam;Congratulations! You have won a free iPhone. Click here now.
ham;Happy birthday hope you enjoy it
ham;Are you free this evening?
ham;Please send me the document
ham;Meeting has been postponed
ham;Let me know when you are ready
ham;I am on my way
ham;Don’t forget the meeting tomorrow
ham;Good morning have a nice day
ham;Can you review my code?
ham;Let’s talk after class
ham;I will call you later
ham;Did you get my email?
ham;See you soon
ham;Are you joining the event?
ham;Thanks for the update
ham;Please confirm your attendance
ham;Let’s reschedule our meeting
ham;How was your day?
ham;Can you help me with this task?
ham;I’ll send the files tonight
ham;Reminder about our appointment
ham;Lunch was great today
ham;Talk to you later
ham;Just checking in
ham;See you next week
ham;Let me know your thoughts
ham;Have a safe trip
ham;Take care
ham;Meeting starts at 3 PM
ham;Please update the document
ham;Did you understand the topic?
ham;I’ll be there in 10 minutes
ham;See you tomorrow
ham;I enjoyed the presentation
ham;Don’t worry about it
ham;Good luck on your exam
ham;Call me if you need anything
ham;Thanks again
ham;Please reply when available
ham;Can we meet earlier?
spam;Instant cash reward available
spam;Urgent message respond immediately
spam;You have been chosen
spam;Free deal click here
spam;Winner announcement claim prize
spam;Exclusive bonus unlocked
spam;Get your reward now
spam;Act fast limited availability
spam;Free offer expires today
spam;Final notice claim now
spam;Cash prize waiting
spam;Win rewards instantly
spam;Urgent response required
spam;Congratulations free membership
spam;Click link to receive prize
spam;Special discount just for you
spam;You have won a brand new phone
spam;Exclusive promotion click now
spam;Win big prizes today
spam;WIN a free iPhone today! Click here to claim
spam;Congratulations! You have won $1000 cash prize
spam;Urgent: Your account has been compromised. Verify now
spam;Limited time offer! Buy one get one free
spam;You have been selected for a free vacation
spam;Earn $5000 per week working from home
spam;Claim your free gift card immediately
spam;Exclusive deal just for you, click here
spam;Your loan is approved, contact us now
spam;Winner! Instant cash reward available
spam;Free subscription waiting for you
spam;Act fast! Limited slots available
spam;Congratulations! You are pre-approved for a credit card
spam;Lowest price guaranteed! Order today
spam;You have won a brand new laptop
spam;Special bonus unlocked! Click here to claim